Datetime,Water Level (m)
2024-06-24 18:00:00,0.56324613
2024-06-24 19:00:00,0.915448
2024-06-24 20:00:00,1.0811815
2024-06-24 21:00:00,0.9895765
2024-06-24 22:00:00,0.70030683
2024-06-24 23:00:00,0.3759727
2024-06-25 00:00:00,0.097659625
2024-06-25 01:00:00,-0.13231297
2024-06-25 02:00:00,-0.33223614
2024-06-25 03:00:00,-0.48178208
2024-06-25 04:00:00,-0.42067125
2024-06-25 05:00:00,0.10156738
2024-06-25 06:00:00,0.661238
2024-06-25 07:00:00,1.1438856
2024-06-25 08:00:00,1.4945729
2024-06-25 09:00:00,1.491608
2024-06-25 10:00:00,1.2283814
2024-06-25 11:00:00,0.8702102
2024-06-25 12:00:00,0.5308165
2024-06-25 13:00:00,0.2469172
2024-06-25 14:00:00,0.01270393
2024-06-25 15:00:00,-0.18564221
2024-06-25 16:00:00,-0.32232702
2024-06-25 17:00:00,-0.22298431
2024-06-25 18:00:00,0.23400052
2024-06-25 19:00:00,0.6772925
2024-06-25 20:00:00,1.0084066
2024-06-25 21:00:00,1.1408707
2024-06-25 22:00:00,0.9960427
2024-06-25 23:00:00,0.6803729
2024-06-26 00:00:00,0.3638904
2024-06-26 01:00:00,0.10181211
2024-06-26 02:00:00,-0.11342452
2024-06-26 03:00:00,-0.29590514
2024-06-26 04:00:00,-0.3995304
2024-06-26 05:00:00,-0.18270546
2024-06-26 06:00:00,0.35199955
2024-06-26 07:00:00,0.8751034
2024-06-26 08:00:00,1.3506252
2024-06-26 09:00:00,1.5924194
2024-06-26 10:00:00,1.4829532
2024-06-26 11:00:00,1.1858153
2024-06-26 12:00:00,0.8346218
2024-06-26 13:00:00,0.51586545
2024-06-26 14:00:00,0.247977
2024-06-26 15:00:00,0.033255525
2024-06-26 16:00:00,-0.13745315
2024-06-26 17:00:00,-0.22629677
2024-06-26 18:00:00,-0.028211804
2024-06-26 19:00:00,0.42511138
2024-06-26 20:00:00,0.85315055
2024-06-26 21:00:00,1.1608046
2024-06-26 22:00:00,1.2677974
2024-06-26 23:00:00,1.1018423
2024-06-27 00:00:00,0.8003752
2024-06-27 01:00:00,0.51004463
2024-06-27 02:00:00,0.2703984
2024-06-27 03:00:00,0.07812314
2024-06-27 04:00:00,-0.062088728
2024-06-27 05:00:00,-0.0871198
2024-06-27 06:00:00,0.23388997
2024-06-27 07:00:00,0.77093804
2024-06-27 08:00:00,1.2691723
2024-06-27 09:00:00,1.6603205
2024-06-27 10:00:00,1.7406405
2024-06-27 11:00:00,1.5562098
2024-06-27 12:00:00,1.2709484
2024-06-27 13:00:00,0.98264694
2024-06-27 14:00:00,0.70221037
2024-06-27 15:00:00,0.453483
2024-06-27 16:00:00,0.2469258
2024-06-27 17:00:00,0.09915181
2024-06-27 18:00:00,0.07270069
2024-06-27 19:00:00,0.37681136
2024-06-27 20:00:00,0.8474252
2024-06-27 21:00:00,1.237604
2024-06-27 22:00:00,1.4909494
2024-06-27 23:00:00,1.4707991
2024-06-28 00:00:00,1.2719643
2024-06-28 01:00:00,1.0014157
2024-06-28 02:00:00,0.7416954
2024-06-28 03:00:00,0.5069396
2024-06-28 04:00:00,0.31745994
2024-06-28 05:00:00,0.1953757
2024-06-28 06:00:00,0.2107158
2024-06-28 07:00:00,0.55102396
2024-06-28 08:00:00,1.0166999
2024-06-28 09:00:00,1.4299259
2024-06-28 10:00:00,1.6758724
2024-06-28 11:00:00,1.6676595
2024-06-28 12:00:00,1.422741
2024-06-28 13:00:00,1.1201708
2024-06-28 14:00:00,0.8049997
2024-06-28 15:00:00,0.5323552
2024-06-28 16:00:00,0.30438712
2024-06-28 17:00:00,0.12822902
2024-06-28 18:00:00,0.014953665
2024-06-28 19:00:00,0.03358203
2024-06-28 20:00:00,0.35651866
2024-06-28 21:00:00,0.76674265
2024-06-28 22:00:00,1.1070806
2024-06-28 23:00:00,1.3507254
2024-06-29 00:00:00,1.3829869
2024-06-29 01:00:00,1.2041488
2024-06-29 02:00:00,0.93012375
2024-06-29 03:00:00,0.6547999
2024-06-29 04:00:00,0.42151687
2024-06-29 05:00:00,0.23467396
2024-06-29 06:00:00,0.12453784
2024-06-29 07:00:00,0.18182273
2024-06-29 08:00:00,0.53316367
2024-06-29 09:00:00,0.92944443
2024-06-29 10:00:00,1.2429346
2024-06-29 11:00:00,1.4459095
2024-06-29 12:00:00,1.4129325
2024-06-29 13:00:00,1.2208163
2024-06-29 14:00:00,0.94971025
2024-06-29 15:00:00,0.6711494
2024-06-29 16:00:00,0.42636555
2024-06-29 17:00:00,0.21937901
2024-06-29 18:00:00,0.060152147
2024-06-29 19:00:00,-0.038627766
2024-06-29 20:00:00,0.024350937
2024-06-29 21:00:00,0.36595872
2024-06-29 22:00:00,0.73751515
2024-06-29 23:00:00,1.0528282
2024-06-30 00:00:00,1.2882129
2024-06-30 01:00:00,1.3426907
2024-06-30 02:00:00,1.1914655
2024-06-30 03:00:00,0.94624144
2024-06-30 04:00:00,0.67935145
2024-06-30 05:00:00,0.4422877
2024-06-30 06:00:00,0.25117323
2024-06-30 07:00:00,0.12494588
2024-06-30 08:00:00,0.117918864
2024-06-30 09:00:00,0.35169438
2024-06-30 10:00:00,0.6954854
2024-06-30 11:00:00,0.98267937
2024-06-30 12:00:00,1.1496172
2024-06-30 13:00:00,1.1599319
2024-06-30 14:00:00,1.0111254
2024-06-30 15:00:00,0.77253413
2024-06-30 16:00:00,0.5147701
2024-06-30 17:00:00,0.2772944
2024-06-30 18:00:00,0.07191504
